week0_ppc,week0_sp,week1_ppc,week1_sp
0.007238207,0.4635985,0.014010105,0.2375787
0.0052935514,0.50770986,0.012529141,0.3325883
0.004218527,0.4249711,0.0077980678,0.21557844
0.00499382,0.44522938,0.010891072,0.25315353
0.004116469,0.35287943,0.007588795,0.16734327
0.006044054,0.47765347,0.009695464,0.23886801
0.0035742924,0.35991344,0.006319566,0.20839943
0.004507242,0.43872222,0.008356123,0.22073899
0.0058920975,0.47107294,0.008843388,0.23490243
0.0069131292,0.43258834,0.012420308,0.20879774
0.012192612,0.4632976,0.020543953,0.27110115
0.0065236907,0.43627945,0.013452106,0.249515
0.005740037,0.3798152,0.010576601,0.20384727
0.0044461424,0.38786447,0.008575284,0.20310986
0.005340785,0.36848152,0.010493574,0.22852902
0.004790815,0.40351406,0.0124370465,0.2583482
0.0056726094,0.48842052,0.015268255,0.2938235
0.005094469,0.49353346,0.014668911,0.30635348
0.00707137,0.50726444,0.020958541,0.35484537
0.0065146047,0.57938683,0.0155599015,0.31493407
0.006714009,0.6070586,0.019559594,0.35650477
0.008295746,0.594669,0.021985702,0.35449234
0.0075343973,0.6020689,0.020481829,0.34895548
0.0051298295,0.515134,0.015140542,0.28747463
0.008765481,0.51644754,0.025556559,0.34286007
0.007411254,0.5264223,0.023933157,0.26583272
0.0051283194,0.47527787,0.010360541,0.26096502
0.0068252273,0.5262706,0.017620606,0.31051219
0.007561101,0.6112973,0.022929663,0.3492508
0.0062573985,0.34604242,0.010716501,0.19120659
0.009860638,0.4599696,0.01588658,0.2507822
0.0050603254,0.38599646,0.009602665,0.20144492
0.0023251867,0.3306959,0.004395791,0.16477384
0.009264657,0.5382927,0.027823545,0.3548133
0.00945754,0.5141167,0.032903608,0.39620116
0.010347233,0.5241623,0.031558417,0.37264672
0.01253064,0.5325219,0.03161112,0.35634616
0.009898922,0.45632544,0.02788479,0.33119318
0.010039306,0.4449385,0.0258418,0.30209205
0.009552636,0.49151933,0.023452258,0.30895022
0.009175993,0.4438577,0.02042255,0.2877662
0.0099722715,0.45592546,0.024133494,0.30437878
0.009567797,0.47014853,0.029518867,0.32848126
0.010282572,0.5006515,0.023649646,0.30976692
0.010458351,0.49002585,0.02823477,0.33911788
0.010679242,0.56977993,0.03172678,0.37959707
0.009405896,0.63176584,0.028281802,0.3835493
0.009523868,0.6262727,0.027073808,0.3934512
0.009585037,0.59734046,0.027728913,0.34254467
0.008513872,0.5693104,0.02805583,0.3803797
0.008267577,0.59529114,0.024779841,0.36147723
0.008918346,0.61084104,0.025739634,0.3710741
0.00790305,0.572701,0.022540718,0.3694365
0.00990558,0.5928092,0.028990695,0.40358606
0.00848801,0.5742438,0.025606642,0.38731492
0.013589176,0.53982174,0.03552786,0.34918705
0.010317219,0.5505721,0.027331583,0.35874057
0.007413456,0.45249537,0.024891464,0.33725667
0.010626522,0.38714156,0.025865251,0.26629582
0.013297492,0.48646498,0.03256982,0.32106683
0.010760874,0.5852163,0.030427217,0.40218472
0.0117619755,0.5899697,0.030768706,0.39977634
0.010464822,0.6575498,0.032907527,0.40364957
0.013815838,0.6096006,0.038708087,0.40851507
0.01134183,0.5395088,0.029605264,0.31179044
0.009013914,0.41704345,0.034497883,0.2582641
0.008983324,0.6290165,0.026623527,0.4220043
0.011039858,0.57850295,0.029084241,0.37692356
0.016071547,0.64340943,0.036015224,0.43469533
0.009138592,0.4995912,0.02044919,0.27882573
0.0065674386,0.53910905,0.016949823,0.31968233
0.0053852494,0.5487266,0.013697551,0.30614695
0.007372854,0.5870398,0.017946227,0.32571533
0.0052608526,0.49074367,0.01248391,0.26769215
0.006178688,0.5225511,0.015149627,0.3151355
0.0047140606,0.41346005,0.0103434725,0.22448473
0.008867511,0.639981,0.025464213,0.3937314
0.011244211,0.61593384,0.02379168,0.31629792
0.0069327545,0.5559682,0.015087415,0.27854484
0.006388126,0.5771819,0.016916001,0.31979182
0.0072351843,0.60712755,0.021048462,0.3603743
0.0074268333,0.6522172,0.0223158,0.3939236
0.0062668626,0.49093178,0.015943095,0.2944282
0.00989544,0.61707,0.022943603,0.37651142
0.009524748,0.64022714,0.019433504,0.29768962
0.007167204,0.6359492,0.020624323,0.35743013
0.009347949,0.6191448,0.019437721,0.3671197
0.0054481365,0.52845585,0.0153297335,0.3582922
0.0038090544,0.4262875,0.008240043,0.23887342
0.004888811,0.5300686,0.011925913,0.28785792
0.00578275,0.5145533,0.0144547755,0.31723917
0.009403153,0.5942854,0.020971933,0.35118094
0.014240771,0.6888744,0.030256758,0.27975708
0.005621838,0.6185903,0.014234687,0.37066004
0.0055301883,0.5977753,0.014273997,0.33551177
0.004844619,0.4499508,0.01132673,0.2538717
0.0079710595,0.55546147,0.019980209,0.34813014
0.0069106775,0.5529726,0.023866884,0.3635044
0.007851937,0.638751,0.018457511,0.36217737
0.0065441667,0.62479967,0.020506572,0.38271046
0.00536082,0.5456529,0.013709822,0.3313729
0.0067443117,0.5406361,0.017250357,0.33571836
0.011781172,0.6302275,0.02425666,0.34546223
0.005122081,0.48274186,0.010474168,0.28064987
0.0068122246,0.6454829,0.016889716,0.3991703
0.0056369086,0.6064349,0.01577934,0.35648823
0.008077471,0.5880379,0.02200032,0.37688005
0.0077804923,0.5306718,0.02407486,0.365357
0.00900798,0.6389788,0.025369411,0.41112676
0.0062819757,0.6676319,0.017065184,0.38259187
0.0061133374,0.5558877,0.013132243,0.3124547
0.013962085,0.64963,0.03787462,0.37703133
0.0054661892,0.5904295,0.019314062,0.3857418
0.005103149,0.6284854,0.014382514,0.39878392
0.008565651,0.54122114,0.02183999,0.37387893
0.0077790935,0.55335957,0.018779343,0.34493765
0.0056639346,0.49755552,0.014407857,0.3201496
0.0061278907,0.44013587,0.015324,0.27776814
0.0061284625,0.54479605,0.014727804,0.31143388
0.0064974967,0.4662139,0.015995229,0.32144925
0.007072612,0.47283578,0.013045039,0.29941145
0.005457247,0.53406245,0.012493614,0.29994747
0.007000988,0.55679995,0.017403709,0.352427
0.013803467,0.61703175,0.02563834,0.3767362
0.011349703,0.62298256,0.02248866,0.3521669
0.015336932,0.7832806,0.036962733,0.48085186
0.017191337,0.7508473,0.040214334,0.46212378
0.019375142,0.58545643,0.03780816,0.4286056
0.015500742,0.73492,0.03701256,0.4580728
0.013071727,0.7013233,0.03184817,0.4349769
0.012302862,0.59833294,0.023476496,0.3500079
0.01021658,0.5422463,0.019903021,0.34251428
0.008743272,0.64833874,0.023132043,0.3741424
0.0076860837,0.569474,0.019608118,0.34023833
0.008612266,0.54603094,0.020533524,0.34355712
0.007389132,0.5890597,0.019059144,0.3697575
0.015466067,0.71803117,0.032591294,0.42906645
0.012982945,0.6477118,0.030438028,0.41275012
0.012639391,0.6433765,0.028969966,0.41133487
0.011402938,0.58455217,0.026772365,0.4029274
0.011725293,0.5926982,0.025393635,0.36272702
0.008530731,0.6480084,0.024304422,0.42211232
0.0096941665,0.6162402,0.026080698,0.3860481
0.009987182,0.6222349,0.026099099,0.3926426
0.0073738997,0.616618,0.021154627,0.40456042
0.009784869,0.61946326,0.026162712,0.39912835
0.009414618,0.65072674,0.026048003,0.4054823
0.010702421,0.6548872,0.031423252,0.41432002
0.009945195,0.54476196,0.02292198,0.39596537
0.013643301,0.60425645,0.031206688,0.39260316
0.012211087,0.66729754,0.032143276,0.4436451
0.013945616,0.70188993,0.032095995,0.4402829
0.0093372045,0.64496845,0.025932698,0.4191827
0.011537406,0.65944,0.028924694,0.38940215
0.009566993,0.6012048,0.02594544,0.38933042
0.009128598,0.6618369,0.023718407,0.3849641
0.012725177,0.6696735,0.032866146,0.42622936
0.011842002,0.6084513,0.024562648,0.38333914
0.012720406,0.57384014,0.03158279,0.34485987
