lat,lon
40.75063,-73.99718
40.71577,-73.98621
40.73183,-73.98918
40.68863,-74.01824
40.70603,-74.00883
40.70961,-74.01295
40.71385,-74.00775
40.7264,-73.97863
40.73906,-73.98225
40.74204,-74.00062
40.72558,-73.99808
40.7201,-74.00491
40.73401,-74.00674
40.74522,-73.97829
40.75236,-73.9725
40.75532,-73.99311
40.76582,-73.98717
40.76926,-73.95875
40.75863,-73.96795
40.77592,-73.9826
40.79845,-73.97443
40.7986,-73.96662
40.80238,-73.95268
40.81141,-73.95306
40.77644,-73.95351
40.79176,-73.94397
40.81827,-73.94286
40.82529,-73.95004
40.83881,-73.94283
40.85054,-73.93398
40.86708,-73.92431
40.79546,-73.92966
40.75926,-73.98986
40.81296,-73.93738
40.70928,-74.00256
40.83087,-73.93622
40.85831,-73.93055
40.76191,-73.94996
40.76461,-73.96312
40.77336,-73.95621
40.78143,-73.95001
40.70854,-74.01665
40.62746,-74.09441
40.63069,-74.13778
40.62989,-74.17413
40.60923,-74.09258
40.59669,-74.07487
40.57177,-74.12595
40.50918,-74.23779
40.55188,-74.14764
40.53135,-74.21986
40.63265,-74.11615
40.54524,-74.18044
40.59926,-74.16575
40.82048,-73.92509
40.83739,-73.92344
40.85278,-73.91233
40.80549,-73.91659
40.81471,-73.90859
40.82988,-73.90812
40.84715,-73.89868
40.86254,-73.88815
40.82587,-73.89294
40.84176,-73.87957
40.84738,-73.84058
40.84328,-73.86039
40.88068,-73.90654
40.86779,-73.79992
40.82262,-73.82224
40.89096,-73.84624
40.86995,-73.86575
40.86809,-73.89973
40.86861,-73.84813
40.88953,-73.87267
40.89887,-73.90333
40.82956,-73.86934
40.81869,-73.85847
40.81055,-73.88437
40.87517,-73.82381
40.7462,-73.71148
40.7566,-73.71418
40.74715,-73.93975
40.77288,-73.92629
40.76257,-73.91344
40.74463,-73.9202
40.77888,-73.90677
40.76221,-73.93153
40.69368,-73.98969
40.64959,-73.93437
40.61878,-73.98483
40.69469,-73.96629
40.70195,-73.94236
40.67075,-73.89421
40.66977,-73.87137
40.62198,-74.03033
40.62815,-73.94633
40.7126,-73.95309
40.66294,-73.91303
40.67108,-73.93633
40.59915,-73.99609
40.66269,-73.98674
40.68077,-73.94932
40.6823,-73.9781
40.64347,-73.97604
40.63267,-73.99667
40.64122,-74.01686
40.69134,-73.92788
40.72779,-73.9476
40.59714,-73.97343
40.57737,-73.98871
40.66305,-73.95422
40.64645,-73.95665
40.6167,-74.01305
40.60129,-73.9445
40.62217,-73.9651
40.67792,-74.00516
40.65655,-74.00735
40.67831,-73.91994
40.60508,-73.91172
40.58395,-73.9491
40.63941,-73.90067
40.70416,-73.92114
40.67917,-73.96381
40.64774,-73.87948
40.76821,-73.8274
40.75145,-73.82103
40.78485,-73.84128
40.78639,-73.81087
40.76047,-73.79637
40.78038,-73.78123
40.76419,-73.77277
40.75657,-73.73785
40.77262,-73.74653
40.74529,-73.76059
40.73964,-73.79449
40.72815,-73.78502
40.73014,-73.82703
40.75172,-73.85182
40.76337,-73.87238
40.76539,-73.89324
40.75169,-73.88364
40.73884,-73.87853
40.72642,-73.86153
40.72094,-73.84615
40.74482,-73.90516
40.72474,-73.90964
40.71675,-73.8796
40.70067,-73.88943
40.69402,-73.73621
40.69809,-73.75899
40.67166,-73.75257
40.6576,-73.8448
40.70792,-73.82821
40.68465,-73.84955
40.67645,-73.84444
40.70027,-73.83597
40.68867,-73.82292
40.67358,-73.81773
40.69406,-73.85863
40.66006,-73.73602
40.71561,-73.76847
40.73642,-73.72237
40.7309,-73.74566
40.72102,-73.74225
40.70977,-73.73866
40.71536,-73.79307
40.69816,-73.7869
40.67681,-73.77643
40.70126,-73.80961
40.67581,-73.79662
40.60128,-73.76165
40.59409,-73.79289
40.59069,-73.80975
40.57827,-73.84476
